# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
5.580000000000000000e+02,4.191253954523634084e-02,8.359684144472572243e-01,5.430561235451639157e-02,8.362957587773623969e-01,2.121689789745732739e-03,1.112574033158400359e-02,2.325405327565701567e-03,1.119597789267366521e-02
5.600000000000000000e+02,4.202924046776213701e-02,8.120978223930236384e-01,5.013532342269694242e-02,8.126220997299578030e-01,2.141356777165560714e-03,1.106406348212864675e-02,2.278413461126334999e-03,1.108834275352315116e-02
5.620000000000000000e+02,4.262862177159808946e-02,7.938991930130054886e-01,4.679699919319584012e-02,7.948402455715615211e-01,2.140892528152883983e-03,1.103115523818599258e-02,2.215971901372344559e-03,1.116112638435705177e-02
5.640000000000000000e+02,4.357138352612513477e-02,7.763842938840552765e-01,4.408410619728624774e-02,7.773594912297646653e-01,2.156139627227016478e-03,1.101113325759396112e-02,2.151369376003300308e-03,1.115954276142989109e-02
5.660000000000000000e+02,4.532946501149520691e-02,7.624378261519352273e-01,4.226498145826290687e-02,7.631252005516055981e-01,2.212897421073892895e-03,1.122453576702660619e-02,2.102626248060470403e-03,1.124521209469747304e-02
5.680000000000000000e+02,4.804770360724867212e-02,7.446080395964630450e-01,4.100863923497465729e-02,7.452335798972480330e-01,2.286674679691140001e-03,1.109475345821826948e-02,2.100919567542710014e-03,1.119090686623303715e-02
5.700000000000000000e+02,5.307021921934412106e-02,7.256182474156397388e-01,3.990242275671289363e-02,7.262100336509548226e-01,2.390441847356338401e-03,1.106241198325484502e-02,2.085066230783043720e-03,1.113827108880048773e-02
5.720000000000000000e+02,6.238622632095069259e-02,6.997670370225032022e-01,3.856523437858868503e-02,7.007674353031805303e-01,2.630366225011596896e-03,1.099565693462766988e-02,2.035506027525900690e-03,1.103206238940780334e-02
5.740000000000000000e+02,8.294017643013221197e-02,6.757361874148162251e-01,3.739602629766049929e-02,6.768388621753059775e-01,3.097896245892233381e-03,1.088319460474131313e-02,2.016827075819724747e-03,1.088894167437698575e-02
5.760000000000000000e+02,1.264751162045107125e-01,6.500672338857574895e-01,3.663625980806980292e-02,6.508159082381854699e-01,3.950402214536255507e-03,1.067059337787037120e-02,1.971438260530864080e-03,1.067873110203750031e-02
5.780000000000000000e+02,2.059624370227101375e-01,6.307850509660160032e-01,3.680927365680265739e-02,6.315577051566124700e-01,5.208500570348277743e-03,1.064340987680922196e-02,1.999241671345705715e-03,1.069816251530069338e-02
5.800000000000000000e+02,3.179851653979269832e-01,6.123579624761574802e-01,3.711442586379418151e-02,6.129913501760528849e-01,6.513402708801871097e-03,1.055712448155080377e-02,2.061120168105837029e-03,1.066178229007674200e-02
5.820000000000000000e+02,4.424384678120359959e-01,5.936290043589705911e-01,3.724740671184216534e-02,5.945406867327949207e-01,7.346572035017900036e-03,1.055870813462263594e-02,2.003164047884102052e-03,1.075038959918676526e-02
5.840000000000000000e+02,5.476471380564952307e-01,5.698136907936041107e-01,3.687442629072287120e-02,5.709218277179033407e-01,8.071182659767993373e-03,1.065260640526113564e-02,1.995336306813111707e-03,1.064180407434726569e-02
